device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
Eye Secret 38 UV Aspheric Color(polymacon) Soft(hydrophilic) Contact Lens for Daily;Eye Secret 38 UV Aspheric Color(polymacon) 1-Day Soft(hydrophilic) Contact Lens,"YUNG SHENG OPTICAL CO., LTD.",2014-12-16,K143052,Substantially Equivalent,Wen-Han  Chen,LPL,TW,2014,"Lenses, Soft Contact, Daily Wear"
RITCH NYLON SUTURE LASER LENS,"OCULAR INSTRUMENTS, INC.",1994-10-31,K933264,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1994,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
EZVIEW (POLYMACON) SOFT (HYDROPHILLIC) CONTACT LENS FOR DAILY WEAR,I-SEE VISION TECHNOLOGY INC,2009-06-16,K082883,Substantially Equivalent,JENNIFER  REICH,LPL,US,2009,"Lenses, Soft Contact, Daily Wear"
"Saview-Colors Aqua 42 UV (hefilcon A) Soft (Hydrophilic) Contact Lens, Saview-Colors Aqua 42 UV Toric (hefilcon A) Soft (Hydrophilic) Contact Lens, Saview-Colors Aqua 42 UV Multifocal (hefilcon A) Soft (Hydrophilic) Contact Lens","ST. SHINE OPTICAL CO., LTD.",2016-10-21,K162317,Substantially Equivalent,ELLA  LEE,LPL,TW,2016,"Lenses, Soft Contact, Daily Wear"
"METHAFILCON A SOFT HYDROPHILIC CONTACT LENSES, FREQUENCY 55, FREQUENCY 55 UV (TO BE MARKETED YR. 2000), FREQUENCY 55 ASP","COOPERVISION, INC.",1999-11-24,K993252,Substantially Equivalent,BONNIE  TSYMBAL,MVN,US,1999,"Lens, Contact, (Disposable)"
"OPTIMUM GP (roflufocon D, roflurocon E) Daily Wear Contact Lens, HEXA100 (hexafocon A) Daily Wear Contact Lens",Contamac Ltd.,2018-04-25,K180616,Substantially Equivalent,Rob  McGregor,HQD,GB,2018,"Lens, Contact (Other Material) - Daily"
OPTIMUM GP (OXYGEN PERMEABLE) DAILY WEAR CONTACT LENSES,CONTAMAC LTD.,2004-03-19,K033594,Substantially Equivalent,MARTIN  DALSING,HQD,US,2004,"Lens, Contact (Other Material) - Daily"
HYBRID FS & HYBRID FS TORIC (HYCOFOCON A) RGP CONTACT LENS FOR DAILY WEAR,CONTAMAC LTD.,2002-09-12,K021977,Substantially Equivalent,Kevin  Walls,HQD,US,2002,"Lens, Contact (Other Material) - Daily"
MELAFOCON A/RIGID GAS PERM CONTACT LEN FOR DAILY WEAR,MENICON CO. LTD.,1994-10-20,K943784,Substantially Equivalent,A. WES  SIEGNER,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
PROSOFT (PHEMFILCON) SOFT (HYDROPHILIC) CONTACT LENS,WESLEY JESSEN CORP.,2000-03-20,K994335,Substantially Equivalent,JOSEPH F FOOS,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
Custom Stable Rigid Gas Permeable Scleral Contact Lens,"Valley Contax, Inc.",2022-01-07,K213880,Substantially Equivalent,Josh  Adams,HQD,US,2022,"Lens, Contact (Other Material) - Daily"
Oxfore®100 (hexafocon A) Rigid Gas Permeable Contact Lenses,"Paragon Vision Sciences, Inc.",2023-05-05,K221768,Substantially Equivalent,Vimala  Punsammy,HQD,US,2023,"Lens, Contact (Other Material) - Daily"
Eye Secret 59 UV Aspheric (Omafilcon A) Soft (Hydrophilic) Contact Lens for Daily Wear,"Yung Sheng Optical Co., Ltd",2022-09-02,K213983,Substantially Equivalent,Wen-Han  Chen,LPL,TW,2022,"Lenses, Soft Contact, Daily Wear"
BOSTON EO (ENFLUFOCON B) CONTACT LENS FOR ORTHOKERATOLGY,POLYMER TECHNOLOGY,2001-02-16,K003932,Substantially Equivalent,NANCY  ABRAHAM,HQD,US,2001,"Lens, Contact (Other Material) - Daily"
FOCUS DAILIES (NELFILCON A) ONE-DAY CONTACT LENSES,CIBA-GEIGY CORP.,2001-02-08,K003586,Substantially Equivalent,STEVEN  DOWDLEY,MVN,US,2001,"Lens, Contact, (Disposable)"
CANTOR & NISSEL HAND PAINTED PROSTHETIC SOFT CONTACT LENS FOR DAILY WEAR,CANTOR & NISSEL LTD.,2004-07-30,K041700,Substantially Equivalent,MARTIN  DALSING,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
KERATOPLASTY SUTURING LENS,"VISIONARY TECHNOLOGIES OF MIAMI, INC.",1994-05-25,K940106,Substantially Equivalent,THOMAS  MESTRITS,HPX,US,1994,"Lens, Contact (Polymethylmethacrylate)"
"SATUREEYES II (ACOFILCON A), (ACOFILCON B) & (TETRAFILCON A) SOFT CONTACT LENS FOR DAILY WEAR","METRO OPTICS OF AUSTIN, INC.",2003-08-01,K031532,Substantially Equivalent,DEANNA  WERBER,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
CIBASOFT PROGRESSIVE TORIC (TEFILCON) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,CIBA VISION CORPORATION,2002-12-10,K023732,Substantially Equivalent,TERRINA  WILDER,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
"DORC VITRECTOMY LENSES, MODEL 1284 SERIES",DUTCH OPHTHALMIC RESEARCH CENTER (D.O.R.C.),2004-02-20,K033950,Substantially Equivalent,FRAN  CARLETON,HJK,US,2004,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
SOFLEX SOFT K (XYLOFILCON A) SOFT (HYDROPHILIC) KERATOCONUS CONTACT LENS FOR DAILY WEAR,SOFLEX CONTACT LENS INDUSTRIES LTD.,2004-07-30,K033655,Substantially Equivalent,Kevin  Walls,LPL,US,2004,"Lenses, Soft Contact, Daily Wear"
RIGID GAS PERMEABLE CONTACT LENS,POLYMER TECHNOLOGY,2000-10-31,K002025,Substantially Equivalent,DEBRA  L.B. KETCHUM,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
WESTCON HORIZON 49% (HIOXIFILCON B),WESTCON CONTACT LENS CO.,2008-04-22,K080686,Substantially Equivalent,KEVIN  RANDALL,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
HydroSens A (hioxifilcon A) Spherical Hydrogel Soft Contact Lens,Visco Vision Inc,2020-12-07,K200618,Substantially Equivalent,Evan  Huang,LPL,TW,2020,"Lenses, Soft Contact, Daily Wear"
SUS (STENFILCON A) CONTACT LENS,"COOPERVISION, INC.",2013-08-30,K131378,Substantially Equivalent,ANNETTE  NELSON,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
OP-2 (LOTIFOCON B) & OP-6 (LOTIFOCON C),"STELLAR CONTACT LENS, INC.",1996-01-03,K952260,Substantially Equivalent,JOHN M SZABOCSIK,HQD,US,1996,"Lens, Contact (Other Material) - Daily"
ESSTECH SV (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS,SZABOCSIK AND ASSOC.,1995-04-07,K951180,Substantially Equivalent,JOHN M SZABOCISK,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
FLUOREX ULTRA (FLUSILFOCON E) RIGID GAS PERMEABLE CONTACT LENS,"G.T. LABORATORIES, INC.",1999-06-29,K991781,Substantially Equivalent,JOHN M SZABOCSIK,HQD,US,1999,"Lens, Contact (Other Material) - Daily"
"POLVUE MULTIFOCAL (POLYMACON) SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND VISIBILITY TINTED, FULLY CAST-MOLDED LENS)","OPTECH, INC.",2001-05-23,K004049,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES HYBRID CONTACT LENSES-DAILY WEAR,"Synergeyes, Inc.",2008-03-05,K080193,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2008,"Lens, Contact (Other Material) - Daily"
"VISTAKON (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS, CLEAR AND TINTED (VISIBILITY AND/OR COSMETICALLY)","JOHNSON & JOHNSON VISION CARE, INC.",2006-11-01,K062614,Substantially Equivalent,SUSAN  MORRIS,LPL,US,2006,"Lenses, Soft Contact, Daily Wear"
BHV VIVID (etafilcon A) Soft (Hydropholic) Contact Lens,Brien Holden Vision Pty Ltd.,2015-04-23,K143280,Substantially Equivalent,Randall  May,LPL,AU,2015,"Lenses, Soft Contact, Daily Wear"
OPTIMUM GP OK Daily Wear Contact Lens (roflufocon D & E),CONTAMAC LTD.,2016-07-13,K160859,Substantially Equivalent,ROB  MCGREGOR,MUW,GB,2016,"Lens, Contact (Orthokeratology)"
CLEAR1-DAY HIOXIFILCON DAILY DISPOSABLE SOFT CONTACT LENS,CLEARLAB SG PTE LTD.,2008-10-15,K080632,Substantially Equivalent,MARTIN  DALSING,MVN,US,2008,"Lens, Contact, (Disposable)"
