main_keyword,patent_id,patent_title,patent_date,patent_abstract,assignee_organization,assignee_country,cpc_group_id,year,cpc_group_title
soft contact lens,12210225,Optical designs of electronic apparatus to decrease myopia progression,2025-01-28,"A soft contact lens comprises a plurality of light sources coupled to a plurality of optical elements. The plurality of light sources and the plurality of optical elements are embedded in a soft contact lens material. Each of said plurality of optical elements generates an image focused in front of a peripheral retina of a wearer. In some embodiments, each of the images is focused at a distance in front of the peripheral retina at a location, and each of the images comprises a depth of focus and a spatial resolution. The depth of focus can be less than the distance, and the spatial resolution greater than a spatial resolution of the peripheral retina at the location.",ACUCELA INC.,US,G02C7/04,2025,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes 
soft contact lens,12210229,Accommodating soft contact lens,2025-01-28,"An accommodating contact lens comprises a variable focus optical module, which comprises an optical chamber and one or more eyelid engaging chambers coupled to the optical chamber with one or more extensions comprising channels extending between the optical chamber and the more eyelid engaging chambers. The module may comprise a self-supporting module capable of supporting itself prior to placement in a contact lens to facilitate placement prior to encapsulation in the contact lens. The module may comprise one or more optically transmissive materials, provides improved optical correction, and can be combined with soft contact lens materials such as hydrogels. In many embodiments, the module comprises a support structure extending between an upper membrane and a lower membrane in order to provide variable optical power accurately with decreased amounts distortion and improved responsiveness to eyelid induced pressure.","OneFocus Technology, LLC",US,G02C7/085,2025,"Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Auxiliary lenses; Arrangements for varying focal length-Ophthalmic lenses with variable focal length-Fluid-filled lenses, e.g. electro-wetting lenses"
soft contact lens,12174463,Accommodating lens with cavity,2024-12-24,"A lens comprises an internal cavity structure formed by dissolution of a soluble insert material. The internal soluble material may dissolve through a body of a lens such as a contact lens in order to form the cavity within the contact lens. The cavity within the lens can be shaped in many ways, and corresponds to the shape of the dissolved material, such that many internal cavity shapes can be readily fabricated within the contact lens. The insert can be placed in a mold with a pre-polymer material, and the pre-polymer material cured with the insert placed in the mold to form the lens body. The polymerized polymer may comprise a low expansion polymer in order to inhibit expansion of the lens when hydrated. The polymer may comprise a hydrogel when hydrated. The soft contact lens material comprises a sufficient amount of cross-linking to provide structure to the lens and shape the cavity.","OneFocus Vision, Inc.",US,G02C7/049,2024,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lenses having special fitting or structural features achieved by special materials or material structures
soft contact lens,12130503,Contact lens with adaptable curvature,2024-10-29,"A soft contact lens that includes a dome-shaped flexible sheet of material. The dome-shaped flexible sheet of material includes: (a) a non-optic zone comprising the periphery of the dome-shaped flexible sheet of material, and including: an upper peripheral zone comprising an upper part of the periphery of the dome-shaped flexible sheet of material, and a lower peripheral zone comprising a lower part of the periphery of the dome-shaped flexible sheet of material. The curvature of the dome-shaped flexible sheet of material is dynamically adaptable, by virtue of at least one of the upper and lower peripheral zones being structured to laterally expand and contract; and (b) an optic zone disposed in an area of the dome-shaped flexible sheet of material that lies between the upper and lower peripheral zones, wherein the optic zone is configured to align with a visual axis of the eye.",HANITA LENSES LTD.,IL,G02C7/041,2024,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -bifocal; multifocal
soft contact lens,11982880,Accommodating cavity lens shaped with photocleavable insert,2024-05-14,"A lens comprises an internal cavity structure formed by dissolution of a soluble insert material. The internal soluble material may dissolve through a body of a lens such as a contact lens in order to form the cavity within the contact lens. The cavity within the lens can be shaped in many ways and corresponds to the shape of the dissolved material, such that many internal cavity shapes can be readily fabricated within the contact lens. The insert can be placed in a mold with a pre-polymer material, and the pre-polymer material cured with the insert placed in the mold to form the lens body. The polymerized polymer may comprise a low expansion polymer in order to inhibit expansion of the lens when hydrated. The polymer may comprise a hydrogel when hydrated. The soft contact lens material comprises a sufficient amount of cross-linking to provide structure to the lens and shape the cavity.","OneFocus Vision, Inc.",US,G02C7/049,2024,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lenses having special fitting or structural features achieved by special materials or material structures
soft contact lens,11746308,Soft contact lens treatment solution,2023-09-05,"Provided is a treating solution for soft contact lenses capable of imparting hydrophilicity and sustainability thereof to a soft contact lens surface. It has been found that a treating solution for soft contact lenses containing a copolymer that contains two kinds of monomers different from each other as constituent units at a specific ratio, and that has a specific weight-average molecular weight can impart excellent hydrophilicity and sustainability thereof.",NOF CORPORATION,JP,C11D3/0078,2023,"Other compounding ingredients of detergent compositions covered in group C11D1/00-Other compounding ingredients characterised by their effect-Compositions for cleaning contact lenses, spectacles or lenses"
soft contact lens,11692906,Method for determining geometrical parameters of a soft contact lens,2023-07-04,A method for determining geometrical parameters of a soft contact lens comprises the steps of,Alcon Inc.,CH,G01M11/0271,2023,Testing of optical apparatus; Testing structures by optical methods not otherwise provided for-Testing optical properties-by measuring geometrical properties or aberrations-by using interferometric methods
soft contact lens,11686954,Contact lens with improved visual performance and minimized halo utilizing pupil apodization,2023-06-27,"A soft contact lens designed to improve visual performance with reduced pupil edge wavefront aberration, reduced halo and reduced light scattering. The soft contact lens is designed with pupil apodization for modulating the lens amplitude transmission profile.",,,G02C7/049,2023,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes -Contact lenses having special fitting or structural features achieved by special materials or material structures
soft contact lens,11624937,Device to prevent retinal hypoxia,2023-04-11,"A contact lens configured to decrease dark adaptation comprises one or more LEDs and directs light from the LED away from the fovea and toward the parafovea or perifoveal regions of the retain. In some embodiments, soft contact lens embedded with one or more arrays of microLEDs and electronics operating the LEDs is configured to be worn at night in order to inhibit dark adaptation and reduce oxygen consumption by the rods. The contact lens may be made of a single layer of a contact lens material or multiple layers sandwiching a flexible transparent plastic layer comprising the electronics and the LED arrays. The contact lens may be made of a hydrophilic hydrogel material that is biocompatible to the human cornea, or a silicone hydrogel material. The contact lens may be spherical and may provide refractive correction to the eye of the wearer.",ACUCELA INC.,US,A61N5/0613,2023,Radiation therapy -using light-Apparatus adapted for a specific treatment
soft contact lens,11402662,Optical designs of electronic contact lens to decrease myopia progression,2022-08-02,"A soft contact lens comprises a plurality of light sources coupled to a plurality of optical elements. The plurality of light sources and the plurality of optical elements are embedded in a soft contact lens material. Each of said plurality of optical elements generates an image focused in front of a peripheral retina of a wearer. In some embodiments, each of the images is focused at a distance in front of the peripheral retina at a location, and each of the images comprises a depth of focus and a spatial resolution. The depth of focus can be less than the distance, and the spatial resolution greater than a spatial resolution of the peripheral retina at the location.",ACUCELA INC.,US,G02C7/04,2022,Optical parts -Lenses; Lens systems ; ; Methods of designing lenses-Contact lenses for the eyes 
